Customer_ID,Cluster
C1000,5
C1001,2
C1002,3
C1003,1
C1004,0
C1005,1
C1006,1
C1007,1
C1008,3
C1009,3
C1010,2
C1011,3
C1012,2
C1013,5
C1014,5
C1015,2
C1016,1
C1017,5
C1018,0
C1019,5
C1020,4
C1021,4
C1022,1
C1023,5
C1024,0
C1025,0
C1026,0
C1027,2
C1028,5
C1029,5
C1030,2
C1031,1
C1032,2
C1033,0
C1034,2
C1035,4
C1036,3
C1037,5
C1038,2
C1039,2
C1040,5
C1041,1
C1042,4
C1043,3
C1044,5
C1045,2
C1046,1
C1047,2
C1048,1
C1049,0
C1050,1
C1051,4
C1052,0
C1053,4
C1054,1
C1055,2
C1056,1
C1057,1
C1058,1
C1059,5
C1060,4
C1061,4
C1062,5
C1063,1
C1064,2
C1065,0
C1066,3
C1067,3
C1068,0
C1069,5
C1070,5
C1071,5
C1072,1
C1073,0
C1074,2
C1075,3
C1076,4
C1077,1
C1078,0
C1079,1
C1080,0
C1081,0
C1082,4
C1083,5
C1084,4
C1085,3
C1086,5
C1087,3
C1088,5
C1089,1
C1090,1
C1091,5
C1092,1
C1093,5
C1094,0
C1095,2
C1096,4
C1097,1
C1098,3
C1099,3
C1100,4
C1101,1
C1102,0
C1103,1
C1104,1
C1105,1
C1106,2
C1107,1
C1108,2
C1109,1
C1110,1
C1111,3
C1112,3
C1113,0
C1114,4
C1115,4
C1116,3
C1117,5
C1118,4
C1119,4
C1120,5
C1121,2
C1122,3
C1123,2
C1124,1
C1125,5
C1126,4
C1127,0
C1128,2
C1129,1
C1130,1
C1131,3
C1132,4
C1133,1
C1134,5
C1135,1
C1136,2
C1137,5
C1138,5
C1139,1
C1140,4
C1141,4
C1142,5
C1143,4
C1144,3
C1145,3
C1146,4
C1147,2
C1148,4
C1149,0
C1150,5
C1151,4
C1152,2
C1153,2
C1154,4
C1155,4
C1156,3
C1157,5
C1158,3
C1159,2
C1160,0
C1161,1
C1162,0
C1163,1
C1164,3
C1165,1
C1166,2
C1167,2
C1168,3
C1169,0
C1170,4
C1171,4
